Country_or_region,URL,Tag
Argentina,https://www.youtube.com/watch?v=D6MpyFYpbs0,Disasters
Argentina,http://www.lanacion.com.ar/1768844-violento-temporal-en-cordoba-seis-muertos-y-cientos-de-evacuados.  ,Disasters
Argentina,http://www.buenosairesherald.com/article/201157/earthquake-in-salta-kills-a-94yearold-woman-injures-30,Disasters
Argentina,http://reliefweb.int/sites/reliefweb.int/files/resources/LAC-Report-Weekly_Note_On_Emergencies-ROLAC-ENG-20150309-MR-16085.pdf,Disasters
Argentina,https://www-secure.ifrc.org/DMISII/pages/02_Disaster_tracking/02011_form_read.aspx?repid=8434.  ,Disasters
Armenia,http://www.internal-displacement.org/europe-the-caucasus-and-central-asia/armenia/figures-analysis,Conflict and violence
Australia,http://www.emknowledge.gov.au/resource/?id=3575,Disasters
Australia,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/1598/xmps/1974,Disasters
Australia,http://www.theage.com.au/victoria/house-washed-away-in-landslide-as-storms-heavy-rain-hit-victoria-20151208-gliv07.html,Disasters
Australia,https://www.emknowledge.gov.au/resource/5652/2015/bushfire---adelaide-hills-south-australia-2015,Disasters
Australia,http://edition.cnn.com/2015/02/19/world/australia-cyclone-marcia/,Disasters
Australia,https://www.dcp.wa.gov.au/Resources/Documents/StatisticsForMedia/A5813084.pdf,Disasters
Australia,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/5915/xmps/1974,Disasters
Australia,http://www.theguardian.com/australia-news/2015/dec/26/great-ocean-road-bushfire-destroys-more-than-50-homes,Disasters
Austria,http://newsinfo.inquirer.net/420141/10-dead-thousands-evacuated-as-floods-sweep-europe,Disasters
Azerbaijan,http://reliefweb.int/sites/reliefweb.int/files/resources/26BED2D23AF41CDC4925741C00517813-Full_Report.pdf,Conflict and violence
Bahamas; The,http://www.tribune242.com/news/2015/oct/22/hurricane-wiped-out-836-homes/?news,Disasters
Bangladesh,http://saarc-sdmc.nic.in/pdf/saarc_news/news305.pdf,Disasters
Bangladesh,http://www.nirapad.org.bd/admin/situation_report/1374128830_26_Flood_17.07.2013.pdf,Disasters
Bangladesh,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/2399/xmps/1974,Disasters
Bangladesh,http://www.ifrc.org/docs/Appeals/15/IBBDfl160715.pdf,Disasters
Bangladesh,http://www.chtdf.org/chtdf_files/chtdf_documents/Publications/Study%20Reports/Survey/Socio-economic_BaselineSurvey_CHT_%20HDRC_%2008April09.pdf,Conflict and violence
Bangladesh,http://etheses.lse.ac.uk/270/1/Redclift%20Histories%20of%20displacement%20and%20the%20creation%20of%20political%20space%20%28public%20version%29.pdf,Conflict and violence
Benin,http://reliefweb.int/sites/reliefweb.int/files/resources/MDRBJ011.pdf,Disasters
Bhutan,http://reliefweb.int/sites/reliefweb.int/files/resources/Abstract_Preliminary_Report_of_4th_April_2015_Windstorm.pdf,Disasters
Bolivia,http://reliefweb.int/report/bolivia/bolivia-emergencia-nevadas-2013-oficina-del-coordinador-residente-reporte-de,Disasters
Bolivia,http://www.iom.int/cms/en/sites/iom/home/news-and-views/press-briefing-notes/pbn-2014/pbn-listing/iom-builds-model-camps-after-flo.html#sthash.VKXOtdQL.dpuf,Disasters
Bolivia,http://www.boliviaentusmanos.com/noticias/bolivia/93188/recuperan-a-la-ultima-victima-del-deslizamiento-de-rurrenabaque.html,Disasters
Bolivia,http://www.elnuevodiario.com.ni/internacionales/310696,Disasters
Bolivia,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/ECHO-Flash-Item/oid/5669,Disasters
Bolivia,http://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Bolivia%20Situation%20Report%20%2302%2C%2007%20September%202015.pdf.  ,Disasters
Bosnia and Herzegovina,http://www.bbc.com/news/world-europe-28683200,Disasters
Bosnia and Herzegovina,http://www.foxnews.com/world/2015/01/19/dozens-homes-flooded-in-bosnia-after-heavy-rainfall-many-for-fifth-time-in-20.html,Disasters
Botswana,http://www.dailynews.gov.bw/news-details.php?nid=24693,Disasters
Brazil,http://www.aljazeera.com/news/americas/2013/12/deadly-brazil-floods-leave-thousands-homeless-201312262341562228.html,Disasters
Brazil,http://reliefweb.int/sites/reliefweb.int/files/resources/REDLAC%20Weekly%20Note%20on%20Emergencies%20Latin%20America%20%26%20the%20Caribbean%20Year%206%20Volume%20336.pdf,Disasters
Brazil,https://www.disasterscharter.org/web/guest/-/article-id/ACT-492,Disasters
Brazil,http://agenciabrasil.ebc.com.br/en/geral/noticia/2015-12/over-2200-households-affected-rainstorms-brazils-south-border,Disasters
Brunei Darussalam,http://adinet.ahacentre.org/reports/view/218,Disasters
Bulgaria,http://adore.ifrc.org/Download.aspx?FileId=62780,Disasters
Burundi,http://reliefweb.int/sites/reliefweb.int/files/resources/MDRBI011.pdf,Disasters
Burundi,http://reliefweb.int/sites/reliefweb.int/files/resources/OIM%20Burundi%20DTM%20rapport%20%232.pdf,Conflict and violence
Cabo Verde,http://reliefweb.int/sites/reliefweb.int/files/resources/UNDAC%20Rapid%20Assessment%20-%20Cabo%20Verde%20Volcano%209Dec2014.pdf,Disasters
Cabo Verde,http://www.tvi24.iol.pt/internacional/01-09-2015/furacao-fred-provoca-estragos-em-cabo-verde,Disasters
Cambodia,http://reliefweb.int/sites/reliefweb.int/files/resources/Cambodia_Sitrep06_08Nov2013%20%281%29.pdf,Disasters
Cambodia,https://www-secure.ifrc.org/DMISII/pages/02_Disaster_tracking/02011_form_read.aspx?repid=7229,Disasters
Cambodia,http://adinet.ahacentre.org/reports/view/106,Disasters
Cambodia,https://www.cambodiadaily.com/archives/storms-kill-four-people-destroy-dozens-of-homes-55878/,Disasters
Cambodia,http://reliefweb.int/sites/reliefweb.int/files/resources/hrf_mulimaid_rapid_assessment-18_-19_sep_2015.pdf,Disasters
Cameroon,https://www.humanitarianresponse.info/en/system/files/documents/files/dtm_cmr_report1_nov2015_en_0.pdf,Conflict and violence
Canada,http://globalnews.ca/news/673236/by-the-numbers-2013-alberta-floods/,Disasters
Canada,http://www.cbc.ca/news/canada/wildfires-force-evacuations-in-alberta-b-c-1.1300308,Disasters
Canada,http://www.ec.gc.ca/meteo-weather/default.asp?lang=En&n=C8D88613-1&offset=4&toc=show,Disasters
Canada,http://www.ec.gc.ca/meteo-weather/default.asp?lang=En&n=C8D88613-1&offset=15&toc=show,Disasters
Canada,http://www.ec.gc.ca/meteo-weather/default.asp?lang=En&n=C8D88613-1&offset=3&toc=show,Disasters
Canada,http://www.thebarrieexaminer.com/2014/10/23/province-wont-provide-relief-for-angus-tornado-victims,Disasters
Canada,https://news.gov.bc.ca/stories/over-200-active-wildfires-impacting-province.  ,Disasters
Central African Republic,https://www-secure.ifrc.org/DMISII/pages/02_Disaster_tracking/02011_form_read.aspx?repid=7331#,Disasters
Central African Republic,http://reliefweb.int/sites/reliefweb.int/files/resources/MDRCF014.pdf,Disasters
Central African Republic,http://reliefweb.int/sites/reliefweb.int/files/resources/Floods%20-%20DREF%20operation%20no%20MDRCF016%20Update%20No.1.pdf,Disasters
Central African Republic,http://kangbindara.com/centrafriqueunepluiedilluviennefaitplusde500personnessansabrisabozoum/,Disasters
Central African Republic,http://www.rjdhrca.net/actulites/actualite/banguiplusde25maisonsdetruitessuitealinondationdanslequartierbruxelles.html,Disasters
Chad,http://reliefweb.int/report/chad/2082-houses-destroyed-rain-sudanese-refugee-camp,Disasters
Chad,https://www.humanitarianresponse.info/en/system/files/documents/files/1_20151230_dtm_chiffre_de_deplaces_lac_tchad_rapport.pdf,Conflict and violence
Chad,https://www.humanitarianresponse.info/fr/system/files/documents/files/chad_displacement_and_malnutrition_jt.pdf,Conflict and violence
Chile,http://www.onemi.cl/informate/director-nacional-entrega-reporte-actualizado-por-sismo-de-mayor-intensidad/,Disasters
Chile,http://www.onemi.cl/alerta/se-declara-alerta-roja-para-la-comuna-de-valparaiso-por-incendio-forestal-7/,Disasters
Chile,http://noticias.lainformacion.com/catastrofes-y-accidentes/incendios/destruidas-24-viviendas-y-cien-evacuadas-por-incendio-forestal-en-valparaiso_HcS00htssgFuDu8kMUsAo3/,Disasters
Chile,http://www.onemi.cl/alerta/monitoreo-alerta-roja-comunal-en-quilpue-por-incendio-forestal-2/,Disasters
Chile,http://www.onemi.cl/noticia/oficina-nacional-de-emergencia-entrego-balance-por-situacion-de-incendios-forestales-en-zona-centro-sur-del-pais/,Disasters
Chile,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/ECHO-Flash-Item/oid/5770,Disasters
Chile,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/ECHO-Flash-Item/oid/5859,Disasters
Chile,http://reliefweb.int/sites/reliefweb.int/files/resources/CL-Information_Note-Floods_Nothern_Region-20150415.pdf,Disasters
Chile,http://reliefweb.int/sites/reliefweb.int/files/resources/Chile%20Earthquake%20Flash%20Note%20No%2001.pdf.  ,Disasters
China,http://reliefweb/int/report/china/typhoon-kills-three-forces-evacuation-500000-china,Disasters
China,http://reliefweb.int/report/china/death-toll-rises-94-nw-china-quake,Disasters
China,https://www.ifrc.org/docs/Appeals/13/CHNTC230813.pdf,Disasters
China,http://reliefweb.int/sites/reliefweb.int/files/resources/MAACN001DORQ3Q413.pdf,Disasters
China,http://news/xinhuanet/com/english/china/2013-04/30/c_132350870/htm,Disasters
China,http://www/huffingtonpost/com/2013/08/31/china-earthquake_n_3849234/html,Disasters
China,http://reliefweb.int/report/china/china-earthquake-dref-operation-update-mdrcn005,Disasters
China,http://reliefweb.int/report/china/150000-people-evacuated-s-china-downpour,Disasters
China,http://news.xinhuanet.com/english/china/2013-04/17/c_132317791.htm,Disasters
China,http://news/xinhuanet/com/english/china/2013-12/18/c_132977852/htm,Disasters
China,http://news/xinhuanet/com/english/china/2013-01/13/c_132099883/htm,Disasters
China,http://www.bbc.com/news/world-asia-china-23251188,Disasters
China,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/4672/xmps/1974,Disasters
China,http://www.ifrc.org/docs/Appeals/rpts14/IBCNtc230714.pdf,Disasters
China,http://floodlist.com/asia/floods-worsen-southern-central-china,Disasters
China,http://news.xinhuanet.com/english/china/2014-07/17/c_133491802.htm,Disasters
China,http://floodlist.com/asia/14-dead-337000-evacuated-southern-china-floods,Disasters
China,http://news.xinhuanet.com/english/china/2014-07/27/c_133513497.htm,Disasters
China,http://floodlist.com/asia/25-dead-7-days-flooding-china,Disasters
China,http://floodlist.com/asia/chongqing-floods-continue-40-killed,Disasters
China,http://earthquake-report.com/2014/02/12/very-strong-earthquake-southern-xinjiang-china-on-february-12-2014/,Disasters
China,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/2983/xmps/1974,Disasters
China,http://news.xinhuanet.com/english/china/2014-10/08/c_133699636.htm,Disasters
China,http://www.oxfam.org.hk/en/yunnanquake2014.aspx,Disasters
China,http://news.xinhuanet.com/english/china/2014-05/11/c_133325839.htm,Disasters
China,http://rt.com/news/china-earthquake-yongshan-yunnan-593/,Disasters
China,http://www.chinadaily.com.cn/china/2014-04/01/content_17397992.htm,Disasters
China,http://erccportal.jrc.ec.europa.eu/ECHO-Flash,Disasters
China,http://news.xinhuanet.com/english/china/2014-06/16/c_133410912.htm,Disasters
China,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/2934/xmps/1974,Disasters
China,http://news.xinhuanet.com/english/china/2014-05/10/c_133323971.htm,Disasters
China,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/ECHO-Flash-List/yy/2014/mm/11,Disasters
China,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/4282/xmps/1974,Disasters
China,http://www.chinadaily.com.cn/china/2014-08/17/content_18408136.htm,Disasters
China,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/2404/xmps/1974,Disasters
China,http://news.xinhuanet.com/english/china/2014-08/28/c_133591384.htm,Disasters
China,http://news.xinhuanet.com/english/2015-03/31/c_134114074.htm,Disasters
China,http://news.xinhuanet.com/english/2015-04/04/c_134125163.htm,Disasters
China,http://floodlist.com/asia/china-over-100-died-in-natural-disasters-in-may-2015-as-more-floods-hit-south,Disasters
China,http://floodlist.com/asia/china-floods-landslides-20-dead-june-2015,Disasters
China,http://news.xinhuanet.com/english/2015-07/13/c_134405534.htm,Disasters
China,http://www.scmp.com/news/china/society/article/1864851/death-toll-china-typhoon-mujigae-rises-19-state-media-says,Disasters
China,http://news.xinhuanet.com/english/2015-11/15/c_134818576.htm,Disasters
Colombia,http://reliefweb.int/report/colombia/aumentan-17-los-muertos-por-invierno-en-occidente-colombiano,Disasters
Colombia,http://www.elcomercio.com/actualidad/colombia-evacua-familias-actividad-volcanes.html,Disasters
Colombia,http://reliefweb.int/sites/reliefweb.int/files/resources/140611%20Humanitarian%20Bulletin%20May%202014%202.pdf,Disasters
Colombia,http://www.salahumanitaria.co/es/system/files/documents/files/130114%20Informe%20de%20situaci%C3%B3n%20Sipi.pdf,Disasters
Colombia,http://reliefweb.int/sites/reliefweb.int/files/resources/LAC-Report-Weekly_Note_On_Emergencies-ROLAC-ENG-20150525-MR-16488.pdf.  ,Disasters
Colombia,https://www.humanitarianresponse.info/en/system/files/documents/files/snapshot_colombia_eng_jan_2016_conflict_1_1.pdf,Conflict and violence
Comoros,http://reliefweb.int/report/madagascar/flash-update-thousands-affected-comoros-and-mozambique-alerts-lifted-madagascar,Disasters
Comoros,http://reliefweb.int/sites/reliefweb.int/files/resources/ROSA_Com383v03_cyclone_hellen_snapshotA4_2014_04_18.pdf,Disasters
Congo (Republic of),http://www.internal-displacement.org/sub-saharan-africa/congo/figures-analysis,Conflict and violence
Costa Rica,http://www.huffingtonpost.com/2013/05/22/turrialba-volcano-spews-ash-costa-rica_n_3321356.html,Disasters
Costa Rica,http://floodlist.com/america/costa-rica-flood-heredia-limon,Disasters
Côte d'Ivoire,http://reliefweb.int/sites/reliefweb.int/files/resources/N1512776.pdf,Conflict and violence
Croatia,"http://www.mvep.hr/en/info-servis/press-releases/floods-in-croatia-and-the-region---the-situation-analysis-on-28-may-2014,21657.html",Disasters
Croatia,http://www.independent.mk/articles/19983/Croatia+Fire+Forces+Evacuation+of++People,Disasters
Croatia,http://www.vijesti.rtl.hr/novosti/hrvatska/1793514/jakovina-se-ispricao-za-krivu-prognozu-pa-optuzio-jelica-na-poplavama-skuplja-jeftine-politicke-poene/#DevelopingStory-821,Disasters
Cuba,http://floodlist.com/america/barocoa-cuba-second-severe-floods-week,Disasters
Cyprus,http://internal-displacement.org/assets/library/Media/201505-Global-Overview-2015/20150506-global-overview-2015-en.pdf,Conflict and violence
Cyprus,http://www.internal-displacement.org/europe-the-caucasus-and-central-asia/cyprus/figures-analysis,Conflict and violence
Czech Republic,http://reliefweb.int/sites/reliefweb.int/files/resources/Czech%20Republic%20MDRCZ002dfr.pdf,Disasters
Dominica,http://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF_Humanitarian_SitRep_StLucia_StVincent_Grenadines_Dominica_3Jan2014.pdf,Disasters
Dominican Republic,http://reliefweb.int/sites/reliefweb.int/files/resources/COE%20Boletin%20No.%2011%20Tormenta%20Tropical%20Chantal%206%20pm%20del%2012%20de%20julio.pdf,Disasters
Dominican Republic,http://reliefweb.int/sites/reliefweb.int/files/resources/COE%20Boletin%20No5%20Tormenta%20Gabrielle.pdf,Disasters
Dominican Republic,http://www.listindiario.com/la-republica/2014/5/22/322935/Dos-provincias-en-alerta-roja-y-dos-en-amarilla-hay-unos-7076-desplazados,Disasters
Dominican Republic,http://www.elcaribe.com.do/2014/08/25/lluvias-afectan-23-comunidades#sthash.yFupFRTW.dpuf,Disasters
Dominican Republic,http://floodlist.com/america/1-dead-flooding-dominican-republic,Disasters
Dominican Republic,http://floodlist.com/america/15000-evacuated-after-floods-in-dominican-republic,Disasters
Dominican Republic,http://www.20minutos.com/noticia/26519/0/republica-dominicana/alerta-maxima/tormenta-erika/.  ,Disasters
DR Congo,http://radiookapi.net/actualite/2013/08/09/equateur-des-milliers-de-sans-abris-apres-des-inondations-gbadolite/#.U2EQOoF_vng,Disasters
DR Congo,http://radiookapi.net/actualite/2014/04/11/bukama-10-000-personnes-victimes-du-debordement-du-fleuve-congo/,Disasters
DR Congo,http://www.rfi.fr/afrique/20141028-rdc-republique-democratique-congo-centaines-disparus-inondations-sud-kivu/,Disasters
DR Congo,http://www.hirondelle.org/index.php/fr/nos-operations/programmes-actuels/republique-democratique-du-congo/a-la-une/360-radio-okapi-rdc-08-10-14-nord-kivu-plus-de-2-000-sinistres-a-la-suite-des-inondations-a-masisi,Disasters
DR Congo,http://radiookapi.net/societe/2014/04/27/bas-congo-340-maisons-detruites-apres-des-inondations-tshela/,Disasters
DR Congo,http://radiookapi.net/actualite/2014/11/04/province-orientale-2500-personnes-victimes-des-inondations-basoko/?utm_source=feedburner&utm_medium=fe...,Disasters
DR Congo,http://radiookapi.net/actualite/2014/03/24/kindu-plus-de-200-maisons-detruites-par-une-forte-pluie/,Disasters
DR Congo,http://radiookapi.net/environnement/2014/04/20/rdc-plus-de-200-maisons-inondees-a-kalemie/,Disasters
DR Congo,http://radiookapi.net/actualite/2014/04/16/kasai-occidental-plus-de-60-maisons-inondees-dans-des-eaux-de-riviere-tshikapa/,Disasters
DR Congo,http://radiookapi.net/actualite/2014/05/07/bunia-plus-de-60-maisons-detruites-apres-une-forte-pluie-kasenyi/,Disasters
DR Congo,http://www.gdacs.org/report.aspx?eventtype=FL&eventid=4191,Disasters
DR Congo,http://www.radiookapi.net/actualite/2015/03/30/sud-kivu-la-pluie-fait-14-morts-a-fizi,Disasters
DR Congo,http://floodlist.com/africa/democratic-republic-congo-floods-kinshasa,Disasters
DR Congo,http://news.trust.org//item/20151208175721-x64gf/,Disasters
DR Congo,http://reliefweb.int/sites/reliefweb.int/files/resources/rdc_apercu_humanitaire_trim4_2015_fr.pdf,Conflict and violence
Ecuador,http://www.ifrc.org/en/news-and-media/news-stories/americas/ecuador/silent-disasters-floods-bring-additional-challenges-to-vulnerable-communities-in-ecuador-60844/,Disasters
Ecuador,http://www.elnuevoherald.com/2013/07/15/1521676/ecuador-200-evacuados-por-volcan.html,Disasters
Ecuador,http://www.elcomercio.com/actualidad/ecuador/incendio-cerro-auqui-quito.html,Disasters
Ecuador,http://www.elcomercio.com/actualidad/carchi-sismos-tulcan-alerta-naranja.html,Disasters
Ecuador,http://reliefweb.int/report/ecuador/ecuador-villages-evacuated-cotopaxi-volcano-rumbles-life,Disasters
Egypt,https://www.hrw.org/report/2015/09/22/look-another-homeland/forced-evictions-egypts-rafah,Conflict and violence
Egypt,http://today.almasryalyoum.com/article2.aspx?ArticleID=470707,Conflict and violence
Egypt,http://english.ahram.org.eg/NewsContent/1/64/142116/Egypt/Politics-/Egypt-has-complied-with-international-law-in-Sinai.aspx,Conflict and violence
Egypt; Arab Rep.,http://www.thecairopost.com/news/101601/news/floods-and-heavy-rain-in-throughout-governorates-in-egypt-report,Disasters
Egypt; Arab Rep.,http://www.albawaba.com/news/heavy-rain-flooding-kills-11-northern-egypt-100-evacuated-763998,Disasters
El Salvador,http://reliefweb.int/sites/reliefweb.int/files/resources/MDRSV006do_0.pdf,Disasters
El Salvador,https://www-secure.ifrc.org/DMISII/pages/02_Disaster_tracking/02011_form_read.aspx?repid=8362,Disasters
El Salvador,http://www.uca.edu.sv/iudop/wp-content/uploads/INFORME-137.pdf,Conflict and violence
El Salvador,http://cristosal.org/wp-content/uploads/2015/10/TranslatedcopyofinformefinalCIDH.pdf,Conflict and violence
Eritrea,http://www.shabait.com/news/local-news/14342-heavy-rainfall-causes-flooding-in-haikota-sub-zone,Disasters
Ethiopia,http://www.worldbulletin.net/world/146314/floods-displace-8000-ethiopian-families,Disasters
Ethiopia,http://reliefweb.int/sites/reliefweb.int/files/resources/idmr_-_oct_to_dec_2015.pdf,Conflict and violence
Fiji,http://www.fijitimes.com/story.aspx?id=261618,Disasters
Finland,http://yle.fi/uutiset/flood_waters_swamp_pyhajoki_residents_evacuated/6588517,Disasters
France,http://www.bfmtv.com/planete/inondations-sud-ouest-premier-bilan-542620.html,Disasters
France,http://www.rivieratimes.com/index.php/provence-cote-dazur-article/items/south-west-france-swept-away-in-record-floods.html,Disasters
France,http://www.bfmtv.com/planete/violents-orages-drome-foyers-prives-courant-630402.html,Disasters
France,http://www.bfmtv.com/planete/inondations-haute-garonne-commune-saint-beat-coupee-monde-541044.html,Disasters
France,http://floodlist.com/europe/floods-france-2013,Disasters
France,http://www.bfmtv.com/planete/decrue-retour-a-normale-progressif-pied-pyrenees-543172.html,Disasters
France,http://www.auxerretv.com/content/index.php?post/2013/05/04/Inondations-%3A-250-personnes-%C3%A9vacu%C3%A9es-pr%C3%A8s-de-Dijon#,Disasters
France,http://www.courrierdelouest.fr/actualite/segre-eboulement-de-terrain-cinq-maisons-touchees-trois-sont-inhabitables-21-11-2013-13620,Disasters
France,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/ECHO-Flash-List/yy/2014/mm/12,Disasters
France,http://erccportal.jrc.ec.europa.eu/ercmaps/ECDM_20140930_France_FlashFloods.pdf,Disasters
France,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/1776/xmps/1974,Disasters
France,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/1831/xmps/1974,Disasters
France,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/3164/xmps/1974,Disasters
France,http://www.theguardian.com/world/2015/oct/04/heavy-flooding-in-french-riviera-leaves-more-than-a-dozen-people-dead,Disasters
Gabon,https://www-secure.ifrc.org/DMISII/pages/02_Disaster_tracking/02011_form_read.aspx?repid=7218,Disasters
Gabon,https://www-secure.ifrc.org/DMISII/pages/02_Disaster_tracking/02011_form_read.aspx?repid=7553,Disasters
Georgia,http://reliefweb.int/report/georgia/georgia-flash-floods-mdrge007-dref-operation-update-1,Disasters
Georgia,http://adore.ifrc.org/Download.aspx?FileId=65647,Disasters
Georgia,http://www.internal-displacement.org/europe-the-caucasus-and-central-asia/georgia/figures-analysis,Conflict and violence
Germany,http://www.cedim.de/download/FDA_Juni_Hochwasser_Bericht2.pdf,Disasters
Ghana,https://wca.humanitarianresponse.info/en/system/files/documents/files/IBGHfl02101301.pdf,Disasters
Ghana,http://reliefweb.int/sites/reliefweb.int/files/resources/unct_sitrep-_accra_floods_08062015.pdf,Disasters
Greece,http://www.reuters.com/article/2013/08/05/us-greece-fire-idUSBRE9740IW20130805,Disasters
Greece,http://earthquake-report.com/2014/01/26/strong-earthquake-greece-on-january-26-2014/,Disasters
Greece,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/1859/xmps/1974,Disasters
Greece,http://earthquake-report.com/2014/05/24/strong-earthquake-aegean-sea-on-may-24-2014/,Disasters
Guatemala,http://reliefweb.int/sites/reliefweb.int/files/resources/MDRGT006DU1.pdf,Disasters
Guatemala,http://floodlist.com/america/350-evacuated-after-heavy-rain-causes-landslide-in-guatemala.  ,Disasters
Guatemala,http://reliefweb.int/sites/reliefweb.int/files/resources/IB03102015.pdf.  ,Disasters
Guatemala,http://reliefweb.int/sites/reliefweb.int/files/resources/GT_Boletin_Informativo_No_4078.pdf.  ,Disasters
Guatemala,http://reliefweb.int/sites/reliefweb.int/files/resources/Redhum_GT_Boletin_Informativo_No_4088_Afectadas_4_mil_216_personas_por_iInundaciones_en_Peten_y_Alta_Verapaz_CONRED-20151119-IC-17411-2.pdf.  ,Disasters
Guatemala,http://reliefweb.int/sites/reliefweb.int/files/resources/LAC-Report-Weekly_Note_On_Emergencies-ROLAC-ENG-20150810-MR-16845.pdf.  ,Disasters
Guatemala,http://www.internal-displacement.org/americas/guatemala/figures-analysis,Conflict and violence
Guatemala,http://www.salanegra.elfaro.net/es/201110/cronicas/6451/,Conflict and violence
Guinea,http://reliefweb.int/sites/reliefweb.int/files/resources/MDRGN008.pdf,Disasters
Haiti,http://www.undp.org/content/undp/en/home/presscenter/pressreleases/2014/11/12/undp-government-of-haiti-provide-immediate-support-to-flood-affected-victims/,Disasters
Haiti,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/ECHO-Flash-Item/oid/6049,Disasters
Honduras,http://erccportal.jrc.ec.europa.eu/ECHO-Flash/Echo-Flash-Item/oid/4925/xmps/1974,Disasters
Honduras,http://floodlist.com/america/nicaragua-honduras-floods-8-dead-june-2015,Disasters
